,URL,ASIN,Title,Brand,Fulfillment,Category,BSR,Subcategory,Price,Price Trend (90 days) (%),Monthly Sales,Sales Trend (90 days) (%),Monthly Revenue,Review Count,Reviews Rating,Seller,Number of Active Sellers,Last Year Sales,Sales Year Over Year (%),Size Tier,Length,Width,Height,Weight,Storage Fee (Jan - Sep),Storage Fee (Oct - Dec),Best Sales Period,Age (Month),Number of Images,Variation Count,Sales to Reviews
13,https://amazon.com/dp/B008XKH4DU,B008XKH4DU,"Eva Solo Soap and Lotion Dispenser Set, ABS Plastic, White",Eva Solo,FBA,Home & Kitchen,3509734,Countertop Soap Dispensers,79.95,,0,0.0,0.0,25,4.0,Counterpoint Design Resources,3,5.0,67.0,Large Standard-Size,7.56,6.61,2.99,0.93,59.73,207.77,02/01/2023,127,3,0,0.0
14,https://amazon.com/dp/B01FJEPDZI,B01FJEPDZI,"Full Circle Bubble Up Soap Dispenser & Dish Brush Set, Pack of 4 - Dispenser & Brush, Gray & White",Full Circle,Amazon,Health & Household,455998,Brushes,115.86,,0,-146.0,0.0,23,4.8,Amazon,1,73.0,78.0,Large Standard-Size,4.65,6.02,17.4,3.77,,,09/01/2022,73,6,5,0.0
15,https://amazon.com/dp/B08G82QHVK,B08G82QHVK,"zmgmsmh cartioon Dinosaur Bath Accessory Set, Soap Dispenser Pump, Toothbrush Holder, Tumbler, Soap Dish - 4 Pieces (4 Pieces Set)",zmgmsmh,FBA,Home & Kitchen,724591,Bathroom Accessory Sets,49.99,,7,0.0,349.93,12,4.9,Home decoration  improvement,1,46.0,5.0,Large Standard-Size,6.57,9.92,12.36,2.47,321.66,1118.83,08/01/2022,33,1,0,0.58
16,https://amazon.com/dp/B09N72SBS3,B09N72SBS3,"Set of 3 Crushed Diamonds Crystal Bathroom Accessories Sets, Hand Soap Dispenser Lotion Dispenser, Soap Dish and Mirrored Tray Set, Vanity Countertop Organization Sets, Bathroom Accessories Decor",Lmaray,FBA,Home & Kitchen,2150779,Bathroom Accessory Sets,49.99,,2,14.0,99.98,5,4.2,Guanlai01,1,25.0,,Large Standard-Size,7.01,9.84,12.48,3.28,343.73,1195.6,11/01/2022,15,6,0,0.4
17,https://amazon.com/dp/B00U82P276,B00U82P276,Sherry Kline Lisette Pink Glass Lotion/Soap Dispenser (Set of 2),Sherry Kline,FBM,Home & Kitchen,7415235,Bathroom Accessory Sets,67.99,-11.0,0,,0.0,1,5.0,Diamond Home USA 💎,1,,,,,,,,,,-,-,1,0,0.0
18,https://amazon.com/dp/B08JZFHCVH,B08JZFHCVH,"XIAOL Bathroom Accessories, 5Piece Bathroom Accessories Set, Bathroom Set Features, Soap Dispenser, Toothbrush Holder, Tumbler & Soap Dish- Bath Gift Set,Black",XIAOL,FBM,Home & Kitchen,6311360,Bathroom Accessory Sets,66.99,,0,-150.0,0.0,2,4.1,xiamenshisimingquhuangxueyibaihuodian,1,,,,,,,,,,04/01/2023,-,3,5,0.0
19,https://amazon.com/dp/B08JZF7NW3,B08JZF7NW3,"XIAOL Bathroom Accessories, 5Piece Bathroom Accessories Set, Bathroom Set Features, Soap Dispenser, Toothbrush Holder, Tumbler & Soap Dish- Bath Gift Set,Khaki",XIAOL,FBM,Home & Kitchen,6310178,Bathroom Accessory Sets,66.99,,0,-150.0,0.0,2,4.1,xiamenshisimingquhuangxueyibaihuodian,1,,,,,,,,,,04/01/2023,2,3,5,0.0
20,https://amazon.com/dp/B07QM96VTN,B07QM96VTN,"Heylian Bathroom Accessory Set, 4-Piece Like Marble with Soap Dispenser, Toothbrush Holder, Tumbler, Soap Dish",Heylian,FBM,Home & Kitchen,1634663,Bathroom Accessory Sets,50.88,-33.0,0,0.0,0.0,136,4.2,Department Store Selection 101,4,,,Large Standard-Size,3.98,8.46,9.84,2.14,,,09/01/2021,50,2,0,0.0
21,https://amazon.com/dp/B078XSQHYD,B078XSQHYD,"Wendin cartioon Dinosaur Bath Accessory Set, Soap Dispenser Pump, Toothbrush Holder, Tumbler, Soap Dish - 4 Pieces (4 Pieces Set)",Wendin,FBM,Home & Kitchen,1259418,Toothbrush Holders,55.99,,9,375.0,503.91,59,4.4,Daily Use Products Collection,1,75.0,-55.0,Large Standard-Size,5.98,10.31,11.57,2.39,,,02/01/2022,52,3,5,0.15
22,https://amazon.com/dp/B097B7NQZ2,B097B7NQZ2,"BASDHE Bathroom Accessories Set-5 Piece Ceramic Gift Set Toothbrush Holder,Toothbrush Cup,Soap Dispenser,Soap Dish,Trash Can, Set Bathroom (Yellow)",BASDHE,FBA,Home & Kitchen,2939776,Bathroom Accessory Sets,67.98,,2,0.0,135.96,2,5.0,BASDHE,0,6.0,,,,,,,,,10/01/2022,24,9,0,1.0
