,URL,ASIN,Title,Brand,Fulfillment,Category,BSR,Subcategory,Price,Price Trend (90 days) (%),Monthly Sales,Sales Trend (90 days) (%),Monthly Revenue,Review Count,Reviews Rating,Seller,Number of Active Sellers,Last Year Sales,Sales Year Over Year (%),Size Tier,Length,Width,Height,Weight,Storage Fee (Jan - Sep),Storage Fee (Oct - Dec),Best Sales Period,Age (Month),Number of Images,Variation Count,Sales to Reviews
14,https://amazon.com/dp/B0C1SGDZVX,B0C1SGDZVX,Secura Home 2 Pcs Automatic Foaming Soap Dispenser Touch-Free Rechargeable Soap Dispenser Set,Secura,FBA,Home & Kitchen,3208831,Countertop Soap Dispensers,52.99,,2,,105.98,,,Lafraise,0,,,,,,,,,,05/01/2023,-,9,0,
15,https://amazon.com/dp/B09Y8W3538,B09Y8W3538,"2 Pack Kitchen Soap Dispenser Set with Bamboo Tray, Glass Soap Dispenser Pump, Hand and Dish Soap Dispenser Set for Bathroom, Refillable Lotion Dispenser Sanitizer Shampoo Conditioner Labels (Black)",OPTVIT,FBA,Home & Kitchen,1838301,Countertop Soap Dispensers,38.99,19.0,0,0.0,0.0,11.0,3.2,bestiu,1,,,Large Standard-Size,4.84,7.87,8.94,1.79,135.98,472.96,09/01/2022,10,7,0,0.0
16,https://amazon.com/dp/B09Y8TCCPG,B09Y8TCCPG,"2 Pack Kitchen Soap Dispenser Set with Bamboo Tray, Glass Soap Dispenser Pump, Hand and Dish Soap Dispenser Set for Bathroom, Refillable Lotion Dispenser Sanitizer Shampoo Conditioner Labels (White)",OPTVIT,FBA,Home & Kitchen,969766,Countertop Soap Dispensers,29.99,61.0,12,-85.0,359.88,78.0,4.0,bestiu,1,,,Large Standard-Size,4.72,7.95,8.7,1.76,130.36,453.41,09/01/2022,10,7,0,0.15
17,https://amazon.com/dp/B09D9N15BG,B09D9N15BG,"SMYONGPINGAutomatic Sensor soap Dispenser Soap Dispenser Bathroom Accessories Hotel Decor,Luxury European Stainless Steel European Ceramic soap Dispenser Set (Color : Stainless Steel)",SMYONGPING,FBM,Home & Kitchen,8391678,Countertop Soap Dispensers,177.99,,0,0.0,0.0,,,Halloween Carnival.,1,,,,,,,,,,-,20,7,3,
18,https://amazon.com/dp/B0836T9FSY,B0836T9FSY,"LMDX Soap Dispenser Wall Mount/Dish soap Dispenser,detergentdispenser,Suitable for Bathroom, Kitchen, Home, Hotel soap Dispenser Set,Polished,450ml/15.8oz，900ml/31.7oz,",LMDX,FBM,Home & Kitchen,5702094,Countertop Soap Dispensers,29.13,,0,0.0,0.0,,,Miss ZJ,1,3.0,,,,,,,,,12/01/2022,23,7,10,
19,https://amazon.com/dp/B08KZZ6183,B08KZZ6183,DIDI Dispenser Pump Emerald Green Soap Dispenser Soap Pump Light Luxury Bathroom Accessories Bath Set Resin Shower Pump 7.7oz/13.5oz/16.9oz Lotion Dispenser (Color : Soap Dispenser 7.7oz),DIDI,FBM,Home & Kitchen,5853708,Countertop Soap Dispensers,35.59,,0,0.0,0.0,2.0,2.7,MAIAIM,1,,,,,,,,,,05/01/2022,30,7,0,0.0
20,https://amazon.com/dp/B0BL7FWCYW,B0BL7FWCYW,"Volisnova Glass Soap Dispenser Set with Concrete Tray - Farmhouse Bathroom & Kitchen Soap Dispenser - Hand Soap, Dish Soap, Lotion Dispenser with Waterproof Labels (White Bottles with Gold Pumps)",Volisnova,FBA,Home & Kitchen,427100,Countertop Soap Dispensers,31.9,-3.0,91,21.0,2902.9,15.0,4.0,Volisnova,1,,,Large Standard-Size,4.61,8.74,11.77,3.15,189.36,658.65,05/01/2023,5,7,5,6.07
21,https://amazon.com/dp/B0BL7JR1K5,B0BL7JR1K5,"Volisnova Glass Soap Dispenser Set with Concrete Tray - Farmhouse Bathroom & Kitchen Soap Dispenser - Hand Soap, Dish Soap, Lotion Dispenser with Waterproof Labels (White Bottles with Black Pumps)",Volisnova,FBA,Home & Kitchen,427100,Countertop Soap Dispensers,31.9,-4.0,89,28.0,2839.1,15.0,4.0,Volisnova,1,,,Large Standard-Size,4.61,8.7,11.81,3.13,189.14,657.87,05/01/2023,5,7,5,5.93
22,https://amazon.com/dp/B0BLCWT8FG,B0BLCWT8FG,"Volisnova Glass Soap Dispenser Set with Concrete Tray - Farmhouse Bathroom & Kitchen Soap Dispenser - Hand Soap, Dish Soap, Lotion Dispenser with Waterproof Labels (Black Bottles with Gold Pumps)",Volisnova,FBM,Home & Kitchen,427100,Countertop Soap Dispensers,31.9,-3.0,91,21.0,2902.9,15.0,4.0,Volisnova,1,,,Large Standard-Size,4.65,8.74,11.89,3.26,,,05/01/2023,5,7,5,6.07
23,https://amazon.com/dp/B0BL7HR7JM,B0BL7HR7JM,"Volisnova Glass Soap Dispenser Set with Concrete Tray - Farmhouse Bathroom & Kitchen Soap Dispenser - Hand Soap, Dish Soap, Lotion Dispenser with Waterproof Labels (White Bottles with Silver Pumps)",Volisnova,FBA,Home & Kitchen,185031,Countertop Soap Dispensers,31.9,-18.0,77,66.0,2456.3,15.0,4.0,Volisnova,1,,,Large Standard-Size,4.57,8.66,11.93,3.09,188.53,655.76,05/01/2023,5,7,5,5.13
24,https://amazon.com/dp/B0BLBSQ9Y8,B0BLBSQ9Y8,"Volisnova Glass Soap Dispenser Set with Concrete Tray - Farmhouse Bathroom & Kitchen Soap Dispenser - Hand Soap, Dish Soap, Lotion Dispenser with Waterproof Labels (Frosted Bottles with Black Pumps)",Volisnova,FBM,Home & Kitchen,277604,Countertop Soap Dispensers,31.9,-10.0,83,54.0,2647.7,15.0,4.0,Volisnova,1,,,Large Standard-Size,4.61,8.7,11.73,3.06,,,05/01/2023,5,7,5,5.53
25,https://amazon.com/dp/B091DKY6LB,B091DKY6LB,"Soap dispenser for bathroom 6-Piece Bathroom Accessory Set Luxury Electroplated Silver Ceramic Soap Dispenser Set Includes: Lotion Dispenser, Cotton Swab Bottle, Tray, Tumbler and Soap Dish Bathroom w",YAOLUU,FBM,Home & Kitchen,8624662,Countertop Soap Dispensers,66.82,,0,,0.0,,,ELAR ENTERPRISE,1,,,,,,,,,,-,-,7,0,
26,https://amazon.com/dp/B09PQDTH87,B09PQDTH87,"YLUU Soap Dispenser Bottle Red Soap Dispenser Bathroom Accessories Set 5 Piece Ceramic Golden Marble Pattern Marble Bathroom Accessories Set,Tray 13.5oz Lotion Pump Bottle (Color : Soap Dispenser)",YLUU,FBM,Home & Kitchen,8713776,Countertop Soap Dispensers,29.52,,0,,0.0,,,LILIHONGHONG,1,,,,,,,,,,-,-,7,0,
27,https://amazon.com/dp/B082WGWW1M,B082WGWW1M,YBYB Soap Dispenser Square Soap Dispenser Hotel Kitchen Bathroom Dish soap Dispenser Bottle Shampoo Shower Gel Press Glass Lotion Bottle Set Lotion dispensers (Color : Purple),YBYB,FBM,Home & Kitchen,7854893,Countertop Soap Dispensers,32.64,,0,,0.0,,,JINHEFU,1,,,,46.06,0.39,0.39,,,,-,-,6,0,
28,https://amazon.com/dp/B00I8PD8CQ,B00I8PD8CQ,"Acrylic Twin Liquid Soap and Lotion Dispenser Set with Caddy - Double Soap Dispenser for Kitchen Sink - Clear Soap Dispenser for Bathroom, Shampoo, Conditioner, Body Wash",Huang Acrylic,FBA,Home & Kitchen,2473468,Bath,42.99,7.0,0,0.0,0.0,33.0,3.6,Authentic Discounts Inc.,1,2.0,-85.0,Large Standard-Size,7.6,5.6,3.0,1.75,50.98,177.33,06/01/2021,101,1,0,0.0
29,https://amazon.com/dp/B096975P1T,B096975P1T,"Soap dispenser for bathroom Bathroom Accessory Set Luxury Electroplated Silver Ceramic Soap Dispenser Set Includes: Lotion Dispenser, Cotton Swab Bottle, Tray, Tumbler And Soap Dish(6PCS) Bathroom wal",YAOLUU,FBM,Home & Kitchen,7489345,Countertop Soap Dispensers,61.86,1.0,0,,0.0,,,SMJ Retail,1,,,,,,,,,,-,-,7,0,
30,https://amazon.com/dp/B093R7TV3G,B093R7TV3G,BUYT Bathroom Soap Dispenser Set Soap Dispenser Bottles Ceramic Soap Dispenser for Bathroom Kitchen Countertop Durable Liquid Bottle with Silver Stainless Steel Pump (Color : Green),BUYT,FBM,Home & Kitchen,8395207,Countertop Soap Dispensers,36.99,,0,0.0,0.0,,,junboyaojianshe,1,,,,,,,,,,-,26,7,2,
31,https://amazon.com/dp/B0BNGC1MB6,B0BNGC1MB6,Soap Dispenser for Kitchen Precision Lever Ceramics Push Soap Pump Cute Cat Children's Bathroom Shower Gel Lotion Bottle Large Capacity Soap Dispenser 500ml/16.9 Ounce Bathroom Soap Dispenser Set ( Co,CIMONS,FBM,Home & Kitchen,7087808,Countertop Soap Dispensers,31.95,,0,0.0,0.0,,,Mona Department Store,1,,,,,,,,,,-,7,6,0,
32,https://amazon.com/dp/B09D8XS8LF,B09D8XS8LF,YIXIN2013SHOP Premium Soap Dispenser Matte Ceramic 6-pc Soap Dispenser Couple Wash Set Family Hotel Bathroom Lotion Bottle/wash Cup/toothbrush Holder/soap Dish/tray Black Gold Bathroom Soap Dispenser,YIXIN2013SHOP,FBM,Home & Kitchen,8182917,Countertop Soap Dispensers,124.42,,0,0.0,0.0,1.0,3.0,yttouzhou246,1,,,,,,,,,,-,-,5,0,0.0
33,https://amazon.com/dp/B0C69VH5CG,B0C69VH5CG,"Kitchen Soap Dispenser with Sponge Holder Set for Sink Caddy, Hand Soap and Dish Soap Dispenser with Brush Matte Grey",YAUKPH,FBA,Home & Kitchen,56996,Countertop Soap Dispensers,29.99,,633,22.0,18983.67,,,kelly home,1,,,Large Standard-Size,12.5,4.1,6.0,1.55,122.79,427.08,05/01/2023,0,6,4,
