"URL","ASIN","Title","Brand","Fulfillment","Category","BSR","Subcategory","Price","Price Trend (90 days) (%)","Monthly Sales","Sales Trend (90 days) (%)","Monthly Revenue","Review Count","Reviews Rating","Seller","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Length","Width","Height","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B0BFVRRXFN","B0BFVRRXFN","Pantry Organization and Storage Baskets, Pantry Organizer Bins White Pantry Storage Bin + Soap Dispenser Dish Soap Dispenser for Kitchen, Hand Soap Dispenser Bathroom, Kitchen Soap Dispenser Set","FINESSY","FBA","Home & Kitchen",5037573,"Countertop Soap Dispensers",59.45,"N/A",0,0,0,"N/A","N/A","Elevated Everyday",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-",6,8,0,"N/A"
"https://amazon.com/dp/B0BNGMNY3W","B0BNGMNY3W","Soap Dispenser for Kitchen Foaming Hand Soap Dispenser Ceramics Soap Foam Dispenser (23.7oz) Big Capacity Soap Dispenser Refillable and Eco Friendly Bathroom Soap Dispenser Set (Color : E)","CIMONS","FBM","Home & Kitchen",7149200,"Countertop Soap Dispensers",32.51,"N/A",0,0,0,"N/A","N/A","Mona Department Store",1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-",7,6,0,"N/A"
"https://amazon.com/dp/B0BNGBD8J4","B0BNGBD8J4","Soap Dispenser for Kitchen Foaming Hand Soap Dispenser Ceramics Soap Foam Dispenser (23.7oz) Big Capacity Soap Dispenser Refillable and Eco Friendly Bathroom Soap Dispenser Set (Color : D)","CIMONS","FBM","Home & Kitchen",7147675,"Countertop Soap Dispensers",32.51,"N/A",0,0,0,"N/A","N/A","Mona Department Store",1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-","-",6,0,"N/A"
"https://amazon.com/dp/B07DPV6TMT","B07DPV6TMT","Rail19 Amber Dish Soap Dispenser Set - Laurel Hands + Dishes Soap Hand Soap Dispenser Set Perfect for Kitchen Sink, 16oz","Rail19","FBM","Home & Kitchen",1852317,"Dispensers",32.5,"N/A",1,-50,32.5,354,4.7,"Rail19",1,4,-78,"Large Standard-Size",10,7,4.75,15,"N/A","N/A","01/01/2022",60,2,2,0
"https://amazon.com/dp/B08Z3Q29LB","B08Z3Q29LB","BUYT Bathroom Soap Dispenser Set Soap Dispenser Wall Mounted Liquid Dispenser Mural Kitchen Shampoo Shower Dispenser Hand Liquid Lotions Dispenser","BUYT","FBM","Home & Kitchen",5774746,"Countertop Soap Dispensers",38.19,"N/A",0,,0,1,1,"junboyaojianshe",1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-",1,6,0,0
"https://amazon.com/dp/B08XPSDDWV","B08XPSDDWV","OMAIA 4-in-1 Kitchen Soap Dispenser Set & 2-in-1 Kitchen Soap Dispenser with Sponge Holder","OMAIA","FBA","Home & Kitchen",4360461,"Countertop Soap Dispensers",35.99,"N/A",0,0,0,1,5,"OMAIA",0,1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","08/01/2021",28,9,0,0
"https://amazon.com/dp/B09GK1HRSH","B09GK1HRSH","Layboo 300ml Glass Soap Dispenser Set with Tray/Soap Dish , Decorative Liquid Soap & Lotion Dispenser Hand Soap Dispenser, for Kitchen or Bathroom Countertops","Layboo","FBM","Home & Kitchen",8169556,"Countertop Soap Dispensers",38.89,"N/A",0,,0,"N/A","N/A","Layboo",1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-","-",6,0,"N/A"
"https://amazon.com/dp/B07KXYTQZL","B07KXYTQZL","Rail19 Clear Dish Soap Dispenser Set - Laurel Hands + Dishes Soap Hand Soap Dispenser Set Perfect for Kitchen Sink, 16oz","Rail19","FBM","Home & Kitchen",1313139,"Soap Dishes",32.5,"N/A",1,60,32.5,354,4.7,"Rail19",1,28,-76,"Large Standard-Size",4,4,10,15,"N/A","N/A","07/01/2021",54,2,2,0
"https://amazon.com/dp/B098R4W9K2","B098R4W9K2","Soap dispensers Refillable Hand Soap Dispenser Hotel Bath Kitchen Soap Dispenser Set Resin Lotion Bottle Pump 300ml soap Dispenser Pump (Color : Brown, Size : A)","COTEN","FBM","Home & Kitchen",8561436,"Countertop Soap Dispensers",47.24,"N/A",0,,0,"N/A","N/A","Mooney department store",1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-","-",7,0,"N/A"
"https://amazon.com/dp/B0BBZYTYFT","B0BBZYTYFT","GAOHANG Dish Soap Dispenser for Kitchen Sink,Glass Hand Soap Dispenser Set for Bathroom, Dishwasher Soap Dispenser with Pump, Home Farmhouse Kitchen Decor (Black＆Black)","GAOHANG","FBA","Home & Kitchen",198204,"Bath",31.99,-5,277,-82,8861.23,128,4.5,"GaoHangMaoyi",2,"N/A","N/A","Large Standard-Size",4.02,7.52,8.03,1.57,96.84,336.84,"03/01/2023",9,7,4,2.16
"https://amazon.com/dp/B0BXX99V63","B0BXX99V63","BosilunLife Kitchen Soap Dispenser Set 17oz Wheat Straw Hand and Dish Soap Dispenser for Kitchen Sink with Tray Refillable Hand Soap Dispenser with 4Pcs Stickers Farmhouse Kitchen Decor Accessories","BosilunLife","FBA","Home & Kitchen",964370,"Bath",32.99,-17,5,,164.95,10,4.3,"BosilunLife",1,"N/A","N/A","Large Standard-Size",3.74,7.17,9.72,0.93,104.08,362.01,"05/01/2023",1,6,0,0.5
"https://amazon.com/dp/B0B2KRT937","B0B2KRT937","MaisoNovo Glass Soap Dispenser with Pump | Vintage Soap Dispenser Bathroom and Kitchen Soap Dispenser Set with Dish Soap, Hand Soap, Lotion Waterproof Labels | White Bottles Gold Pumps - Set of 2","MAISONOVO","FBA","Home & Kitchen",8972,"N/A",39.7,4,3217,-66,127714.9,1762,4.3,"MaisoNovo",1,64774,"N/A","Large Standard-Size",4.8,8.66,9.92,3.17,164.66,572.71,"01/01/2023",13,7,6,1.83
"https://amazon.com/dp/B0B2KNL9P3","B0B2KNL9P3","MaisoNovo Glass Soap Dispenser with Pump | Vintage Soap Dispenser Bathroom and Kitchen Soap Dispenser Set with Dish Soap, Hand Soap, Lotion Waterproof Labels | White Bottles Black Pumps - Set of 2","MAISONOVO","FBA","Home & Kitchen",7846,"N/A",39.7,6,2999,-70,119060.3,1762,4.3,"MaisoNovo",1,"N/A","N/A","Large Standard-Size",4.8,8.62,10.08,3.02,166.54,579.26,"01/01/2023",13,7,6,1.7
"https://amazon.com/dp/B0B2KQ7FRW","B0B2KQ7FRW","MaisoNovo Glass Soap Dispenser with Pump | Vintage Soap Dispenser Bathroom and Kitchen Soap Dispenser Set with Dish Soap, Hand Soap, Lotion Waterproof Labels | White Bottles Silver Pumps - Set of 2","MAISONOVO","FBA","Home & Kitchen",8377,"Countertop Soap Dispensers",39.7,6,2961,-70,117551.7,1762,4.3,"MaisoNovo",1,58068,"N/A","Large Standard-Size",4.76,8.62,10.24,3.19,167.88,583.94,"01/01/2023",13,7,6,1.68
